Data,Arquivo,Tempo(s),Throughput(Mbps),Ping(ms),Perda(%)
2026-06-20 22:27:36,500MB.bin,1154.84,3.46,8,0
2026-06-20 22:44:36,500MB.bin,1010.85,3.96,14,0
2026-06-20 23:03:14,500MB.bin,1108.87,3.61,10,0
2026-06-20 23:22:14,500MB.bin,1131.33,3.54,7,0
2026-06-20 23:42:46,500MB.bin,1222.2,3.27,33,0
2026-06-20 00:16:20,1GB.bin,1896.93,4.32,24,0
2026-06-20 00:46:04,1GB.bin,1774.99,4.62,7,0
2026-06-20 01:14:45,1GB.bin,1712.41,4.78,9,0
2026-06-20 01:42:52,1GB.bin,1677.1,4.88,8,0
2026-06-20 02:06:05,1GB.bin,1383.73,5.92,23,0
,5GB.bin,9484.65,,,
,5GB.bin,,,,
,5GB.bin,,,,
,5GB.bin,,,,
,5GB.bin,,,,
